Date,Close,High,Low,Open,Volume,symbol,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL,,MSFT,MSFT,MSFT,MSFT,MSFT,GOOG,GOOG,GOOG,GOOG,GOOG,TSLA,TSLA,TSLA,TSLA,TSLA
2025-10-27,268.5496520996094,268.8593494221352,264.3936774471076,264.6234656652487,44888200.0,AAPL,,,,,,,,,,,,,,,
2025-10-28,268.7394714355469,269.6286240979669,267.8902885694659,268.7294713644567,41534800.0,AAPL,,,,,,,,,,,,,,,
2025-10-29,269.4388122558594,271.1471476128123,266.85129379808274,269.01920560410514,51086700.0,AAPL,,,,,,,,,,,,,,,
2025-10-30,271.13714599609375,273.87451306817263,268.2199910571769,271.72657092903916,69886500.0,AAPL,,,,,,,,,,,,,,,
2025-10-31,270.108154296875,277.05143573891627,268.89933466249033,276.721738255342,86167100.0,AAPL,,,,,,,,,,,,,,,
2025-11-03,268.7894287109375,270.5877038096653,265.9921525413924,270.15812755648943,50194600.0,AAPL,,,,,,,,,,,,,,,
2025-11-04,269.7784729003906,271.22705027239556,267.36080327265466,268.0701070960229,49274800.0,AAPL,,,,,,,,,,,,,,,
2025-11-05,269.8783874511719,271.43687417180433,266.67147434431234,268.3498399683747,43683100.0,AAPL,,,,,,,,,,,,,,,
2025-11-06,269.50872802734375,273.1352174017799,267.6305743388968,267.6305743388968,51204000.0,AAPL,,,,,,,,,,,,,,,
2025-11-07,268.2099914550781,272.02629915101613,266.51162568814635,269.5386899523433,48227400.0,AAPL,,,,,,,,,,,,,,,
2025-11-10,269.42999267578125,273.7300109863281,267.4599914550781,268.9599914550781,41312400.0,AAPL,,,,,,,,,,,,,,,
2025-11-11,275.25,275.9100036621094,269.79998779296875,269.80999755859375,46208300.0,AAPL,,,,,,,,,,,,,,,
2025-11-12,273.4700012207031,275.7300109863281,271.70001220703125,275.0,48398000.0,AAPL,,,,,,,,,,,,,,,
2025-11-13,272.95001220703125,276.70001220703125,272.0899963378906,274.1099853515625,49602800.0,AAPL,,,,,,,,,,,,,,,
2025-11-14,272.4100036621094,275.9599914550781,269.6000061035156,271.04998779296875,47431300.0,AAPL,,,,,,,,,,,,,,,
2025-11-17,267.4599914550781,270.489990234375,265.7300109863281,268.82000732421875,45018300.0,AAPL,,,,,,,,,,,,,,,
2025-11-18,267.44000244140625,270.7099914550781,265.32000732421875,269.989990234375,45677300.0,AAPL,,,,,,,,,,,,,,,
2025-11-19,268.55999755859375,272.2099914550781,265.5,265.5299987792969,40424500.0,AAPL,,,,,,,,,,,,,,,
2025-11-20,266.25,275.42999267578125,265.9200134277344,270.8299865722656,45823600.0,AAPL,,,,,,,,,,,,,,,
2025-11-21,271.489990234375,273.3299865722656,265.6700134277344,265.95001220703125,59030800.0,AAPL,,,,,,,,,,,,,,,
2025-11-24,275.9200134277344,277.0,270.8999938964844,270.8999938964844,65585800.0,AAPL,,,,,,,,,,,,,,,
2025-11-25,276.9700012207031,280.3800048828125,275.25,275.2699890136719,46914200.0,AAPL,,,,,,,,,,,,,,,
2025-11-26,277.54998779296875,279.5299987792969,276.6300048828125,276.9599914550781,33413600.0,AAPL,,,,,,,,,,,,,,,
2025-10-27,,,,,,MSFT,530.527099609375,533.5813808592218,528.0217787333662,530.7866236569336,18734700.0,,,,,,,,,,
2025-10-28,,,,,,MSFT,541.057373046875,552.6855732732587,539.7598137450263,548.9725518014023,29986700.0,,,,,,,,,,
2025-10-29,,,,,,MSFT,540.538330078125,545.2495444281135,535.7273269044096,543.9220119141725,36023000.0,,,,,,,,,,
2025-10-30,,,,,,MSFT,524.77783203125,533.9705877450752,521.1446173319796,529.4889853080866,41023100.0,,,,,,,,,,
2025-10-31,,,,,,MSFT,516.8426513671875,528.3311587204174,514.137692119172,527.8919782690999,34006400.0,,,,,,,,,,
2025-11-03,,,,,,MSFT,516.0641479492188,523.9793263365088,513.628703759196,518.8389228578652,22374700.0,,,,,,,,,,
2025-11-04,,,,,,MSFT,513.3692016601562,514.5868933466259,506.8913048594995,510.80399534425794,20958700.0,,,,,,,,,,
2025-11-05,,,,,,MSFT,506.2125549316406,513.8682396575209,505.6336213981725,512.3410686781482,23024300.0,,,,,,,,,,
2025-11-06,,,,,,MSFT,496.1713562011719,504.75529633258907,494.88375756631746,504.7153625290288,27406500.0,,,,,,,,,,
2025-11-07,,,,,,MSFT,495.8918762207031,498.4470913363115,492.32853818272196,496.02163823572937,24019800.0,,,,,,,,,,
2025-11-10,,,,,,MSFT,505.0547180175781,505.9031361854127,497.8681564860657,499.10586069795033,26101500.0,,,,,,,,,,
2025-11-11,,,,,,MSFT,507.7297058105469,508.64800052182136,501.411544557113,503.85694933091565,17980000.0,,,,,,,,,,
2025-11-12,,,,,,MSFT,510.1851501464844,510.7141588310794,498.18758530403636,508.4084461357136,26574900.0,,,,,,,,,,
2025-11-13,,,,,,MSFT,502.34979248046875,512.54071024479,500.3535287599438,509.3566671737073,25273100.0,,,,,,,,,,
2025-11-14,,,,,,MSFT,509.2268981933594,510.644258818196,496.51070821491913,497.2992409027003,28505700.0,,,,,,,,,,
2025-11-17,,,,,,MSFT,506.54193115234375,511.16328656765256,503.9667643395777,507.5001596757347,19092800.0,,,,,,,,,,
2025-11-18,,,,,,MSFT,492.8675537109375,502.0403882023454,485.87063942574486,494.44458869198826,33815100.0,,,,,,,,,,
2025-11-19,,,,,,MSFT,486.2099914550781,494.264922953439,481.9279972054541,489.18443539234676,23245300.0,,,,,,,,,,
2025-11-20,,,,,,MSFT,478.42999267578125,493.57000732421875,475.5,492.7099914550781,26802500.0,,,,,,,,,,
2025-11-21,,,,,,MSFT,472.1199951171875,478.9200134277344,468.2699890136719,478.5,31769200.0,,,,,,,,,,
2025-11-24,,,,,,MSFT,474.0,476.8999938964844,468.0199890136719,475.0,34421000.0,,,,,,,,,,
2025-11-25,,,,,,MSFT,476.989990234375,479.1499938964844,464.8900146484375,474.07000732421875,28019800.0,,,,,,,,,,
2025-11-26,,,,,,MSFT,485.5,488.30999755859375,481.20001220703125,486.30999755859375,25697600.0,,,,,,,,,,
2025-10-27,,,,,,GOOG,,,,,,269.92999267578125,270.79998779296875,264.94000244140625,265.3599853515625,22987700.0,,,,,
2025-10-28,,,,,,GOOG,,,,,,268.42999267578125,271.3800048828125,267.1700134277344,270.20001220703125,20101200.0,,,,,
2025-10-29,,,,,,GOOG,,,,,,275.1700134277344,275.9700012207031,268.42999267578125,268.6099853515625,26287900.0,,,,,
2025-10-30,,,,,,GOOG,,,,,,281.8999938964844,291.92999267578125,280.45001220703125,291.7200012207031,48570000.0,,,,,
2025-10-31,,,,,,GOOG,,,,,,281.82000732421875,286.2850036621094,277.52301025390625,283.2049865722656,29932800.0,,,,,
2025-11-03,,,,,,GOOG,,,,,,284.1199951171875,285.94000244140625,280.3699951171875,282.4200134277344,19691800.0,,,,,
2025-11-04,,,,,,GOOG,,,,,,278.05999755859375,281.8340148925781,276.864990234375,277.06500244140625,18123700.0,,,,,
2025-11-05,,,,,,GOOG,,,,,,284.75,286.70001220703125,277.8800048828125,279.3800048828125,20063200.0,,,,,
2025-11-06,,,,,,GOOG,,,,,,285.3399963378906,288.80999755859375,281.6199951171875,285.7349853515625,23103800.0,,,,,
2025-11-07,,,,,,GOOG,,,,,,279.70001220703125,284.5,275.739990234375,284.2099914550781,21991100.0,,,,,
2025-11-10,,,,,,GOOG,,,,,,290.5899963378906,291.4599914550781,283.5400085449219,285.2650146484375,19508200.0,,,,,
2025-11-11,,,,,,GOOG,,,,,,291.739990234375,292.3399963378906,287.8800048828125,288.20001220703125,14156700.0,,,,,
2025-11-12,,,,,,GOOG,,,,,,287.42999267578125,292.3599853515625,284.3800048828125,292.0849914550781,16998800.0,,,,,
2025-11-13,,,,,,GOOG,,,,,,279.1199951171875,283.510009765625,278.0,282.9849853515625,18060200.0,,,,,
2025-11-14,,,,,,GOOG,,,,,,276.9800109863281,279.1499938964844,271.4100036621094,271.8949890136719,18330500.0,,,,,
2025-11-17,,,,,,GOOG,,,,,,285.6000061035156,294.5199890136719,284.2300109863281,286.3999938964844,34286100.0,,,,,
2025-11-18,,,,,,GOOG,,,,,,284.9599914550781,289.43499755859375,279.010009765625,288.4849853515625,29702200.0,,,,,
2025-11-19,,,,,,GOOG,,,,,,292.989990234375,304.25,287.6700134277344,287.68499755859375,43123600.0,,,,,
2025-11-20,,,,,,GOOG,,,,,,289.9800109863281,306.8900146484375,289.1700134277344,304.739990234375,34801400.0,,,,,
2025-11-21,,,,,,GOOG,,,,,,299.6499938964844,303.9599914550781,294.3599853515625,296.8699951171875,43670600.0,,,,,
2025-11-24,,,,,,GOOG,,,,,,318.4700012207031,319.79998779296875,309.3999938964844,311.010009765625,55311800.0,,,,,
2025-11-25,,,,,,GOOG,,,,,,323.6400146484375,328.6700134277344,317.8160095214844,326.79998779296875,50899300.0,,,,,
2025-11-26,,,,,,GOOG,,,,,,320.2799987792969,324.989990234375,317.20001220703125,320.7799987792969,29786600.0,,,,,
2025-10-27,,,,,,TSLA,,,,,,,,,,,452.4200134277344,460.1600036621094,438.69000244140625,439.9800109863281,105867500.0
2025-10-28,,,,,,TSLA,,,,,,,,,,,460.54998779296875,467.0,451.6000061035156,454.7799987792969,80185700.0
2025-10-29,,,,,,TSLA,,,,,,,,,,,461.510009765625,465.70001220703125,452.6499938964844,462.5,67983500.0
2025-10-30,,,,,,TSLA,,,,,,,,,,,440.1000061035156,455.05999755859375,439.6099853515625,451.04998779296875,72447900.0
2025-10-31,,,,,,TSLA,,,,,,,,,,,456.55999755859375,458.0,443.69000244140625,446.75,83135800.0
2025-11-03,,,,,,TSLA,,,,,,,,,,,468.3699951171875,474.07000732421875,453.79998779296875,455.989990234375,84595200.0
2025-11-04,,,,,,TSLA,,,,,,,,,,,444.260009765625,460.2200012207031,443.6000061035156,454.4599914550781,87756600.0
2025-11-05,,,,,,TSLA,,,,,,,,,,,462.07000732421875,466.3299865722656,440.7099914550781,452.04998779296875,85573000.0
2025-11-06,,,,,,TSLA,,,,,,,,,,,445.9100036621094,467.45001220703125,435.0899963378906,461.9599914550781,109622900.0
2025-11-07,,,,,,TSLA,,,,,,,,,,,429.5199890136719,439.3599853515625,421.8800048828125,437.9200134277344,103471500.0
2025-11-10,,,,,,TSLA,,,,,,,,,,,445.2300109863281,449.6700134277344,433.3599853515625,439.6000061035156,76515900.0
2025-11-11,,,,,,TSLA,,,,,,,,,,,439.6199951171875,442.489990234375,432.3599853515625,439.3999938964844,60533200.0
2025-11-12,,,,,,TSLA,,,,,,,,,,,430.6000061035156,442.3299865722656,426.55999755859375,442.1499938964844,58513500.0
2025-11-13,,,,,,TSLA,,,,,,,,,,,401.989990234375,424.5,396.3399963378906,423.1300048828125,118948000.0
2025-11-14,,,,,,TSLA,,,,,,,,,,,404.3500061035156,412.19000244140625,382.7799987792969,386.29998779296875,105506700.0
2025-11-17,,,,,,TSLA,,,,,,,,,,,408.9200134277344,423.9599914550781,398.739990234375,398.739990234375,102214300.0
2025-11-18,,,,,,TSLA,,,,,,,,,,,401.25,408.8999938964844,393.7099914550781,405.3800048828125,80688600.0
2025-11-19,,,,,,TSLA,,,,,,,,,,,403.989990234375,411.7799987792969,398.5,406.17999267578125,72047700.0
2025-11-20,,,,,,TSLA,,,,,,,,,,,395.2300109863281,428.94000244140625,394.739990234375,414.6300048828125,113548800.0
2025-11-21,,,,,,TSLA,,,,,,,,,,,391.0899963378906,402.79998779296875,383.760009765625,402.32000732421875,100460600.0
2025-11-24,,,,,,TSLA,,,,,,,,,,,417.7799987792969,421.7200012207031,401.0899963378906,402.1700134277344,96806400.0
2025-11-25,,,,,,TSLA,,,,,,,,,,,419.3999938964844,420.4800109863281,405.95001220703125,414.4200134277344,71915600.0
2025-11-26,,,,,,TSLA,,,,,,,,,,,426.5799865722656,426.94000244140625,416.8900146484375,423.95001220703125,63299400.0
